text,read_code,read_term
Tear of talofibular ligament,S5D0.,"Complete tear, ankle ligament"
Rupture of medial ankle ligament,S5D00,"Complete tear, ankle, medial ligament"
Rupture of lateral ankle ligament,S5D01,"Complete tear, ankle, lateral ligament"
"Complete tear, foot ligament",S5D1.,"Complete tear, foot ligament"
Complete tear of midtarsal joint ligament,S5D10,"Complete tear, mid tarsal joint ligament"
"Complete tear, tarsometatarsal ligament",S5D11,"Complete tear, tarsometatarsal ligament"
"Complete tear, metatarsophalangeal ligament",S5D12,"Complete tear, metatarsophalangeal ligament"
"Complete tear, interphalangeal (toe) ligament",S5D13,"Complete tear, interphalangeal (toe) ligament"
"Complete tear, jaw ligament",S5E0.,"Complete tear, jaw ligament"
"Complete tear, thyroid region ligament",S5E1.,"Complete tear, thyroid region ligament"
"Complete tear, rib ligament",S5E2.,"Complete tear, rib ligament"
"Complete tear, chondrocostal joint ligament",S5E20,"Complete tear, chondrocostal joint ligament"
"Complete tear, costal cartilage ligament",S5E21,"Complete tear, costal cartilage ligament"
"Complete tear, sternum ligament",S5E3.,"Complete tear, sternum ligament"
Complete tear of sternoclavicular ligament,S5E30,"Complete tear, sternoclavicular ligament"
"Complete tear, chondrosternal ligament",S5E31,"Complete tear, chondrosternal ligament"
"Complete tear, xiphoid cartilage ligament",S5E32,"Complete tear, xiphoid cartilage ligament"
Open division shoulder ligament,S5F..,Open division shoulder ligament
Open division acromioclavicular ligament,S5F0.,Open division acromioclavicular ligament
Open division coracoclavicular ligament,S5F1.,Open division coracoclavicular ligament
Open division elbow ligament,S5G..,Open division elbow ligament
"Open division elbow, lateral collateral ligament",S5G0.,"Open division elbow, lateral collateral ligament"
"Open division elbow, medial collateral ligament",S5G1.,"Open division elbow, medial collateral ligament"
Open division wrist and/or hand ligament,S5H..,Open division wrist or hand ligament
Open division wrist ligament,S5H0.,Open division wrist ligament
"Open division wrist ligament, single",S5H00,"Open division wrist ligament, single"
"Open division wrist ligaments, multiple",S5H01,"Open division wrist ligaments, multiple"
Open division thumb ligament,S5H1.,Open division thumb ligament
"Open division, thumb, metacarpophalangeal joint, radial collateral ligament",S5H10,"Open division thumb MCPJ, radial collateral ligament"
"Open division, thumb, metacarpophalangeal joint, ulnar collateral ligament",S5H11,"Open division thumb MCPJ, ulnar collateral ligament"
"Open division, thumb, interphalangeal joint, radial collateral ligament",S5H12,"Open division thumb IPJ, radial collateral ligament"
"Open division, thumb, interphalangeal joint, ulnar collateral ligament",S5H13,"Open division thumb IPJ, ulnar collateral ligament"
Open division finger ligament,S5H2.,Open division finger ligament
"Open division, finger, metacarpophalangeal joint, radial collateral ligament",S5H20,"Open division finger MCPJ, radial collateral ligament"
"Open division, finger, metacarpophalangeal joint, ulnar collateral ligament",S5H21,"Open division finger MCPJ, ulnar collateral ligament"
"Open division, finger, proximal interphalangeal joint, radial collateral ligament",S5H22,"Open division finger PIPJ, radial collateral ligament"
"Open division, finger, proximal interphalangeal joint, ulnar collateral ligament",S5H23,"Open division finger PIPJ, ulnar collateral ligament"
"Open division, finger, distal interphalangeal joint, radial collateral ligament",S5H24,"Open division finger DIPJ, radial collateral ligament"
"Open division, finger, distal interphalangeal joint, ulnar collateral ligament",S5H25,"Open division finger DIPJ, ulnar collateral ligament"
Open division hip ligament,S5J..,Open division hip ligament
Open division iliofemoral ligament,S5J0.,Open division iliofemoral ligament
Open division ligament knee,S5K..,Open division ligament knee
Open division lateral collateral ligament knee,S5K0.,Open division lateral collateral ligament knee
Open division medial collateral ligament knee,S5K1.,Open division medial collateral ligament knee
Open division posterior cruciate ligament knee,S5K2.,Open division posterior cruciate ligament knee
Open division anterior cruciate ligament knee,S5K3.,Open division anterior cruciate ligament knee
"Open division, superior tibiofibular ligament",S5K4.,"Open division, superior tibiofibular ligament"
Open division ligament ankle and/or foot,S5L..,Open division ligament ankle or foot
Open division ankle ligament,S5L0.,Open division ankle ligament
"Open division ankle, medial ligament",S5L00,"Open division ankle, medial ligament"
"Open division ankle, lateral ligament",S5L01,"Open division ankle, lateral ligament"
Open division calcaneofibular ligament,S5L02,Open division calcaneofibular ligament
Open division distal tibiofibular ligament,S5L03,Open division distal tibiofibular ligament
Open division foot ligament,S5L1.,Open division foot ligament
Open division of midtarsal joint ligament,S5L10,"Open division, mid tarsal joint ligament"
Open division tarsometatarsal ligament,S5L11,Open division tarsometatarsal ligament
Open division metatarsophalangeal ligament,S5L12,Open division metatarsophalangeal ligament
Open division interphalangeal (toe) ligament,S5L13,Open division interphalangeal (toe) ligament
Open division pelvic ligament,S5M..,Open division pelvic ligament
Open division symphysis pubis,S5M0.,Open division symphysis pubis
Open division sacrotuberous ligament,S5M1.,Open division sacrotuberous ligament
Open division sacrospinous ligament,S5M2.,Open division sacrospinous ligament
Open division sacroiliac ligament,S5M3.,Open division sacroiliac ligament
Open division anterior sacroiliac ligament,S5M30,Open division ant sacro-iliac ligament
Open division posterior sacroiliac ligament,S5M31,Open division post sacro-iliac ligament
Open division iliolumbar ligament,S5M4.,Open division iliolumbar ligament
Open division lumbosacral ligament,S5M5.,Open division lumbosacral ligament
"Open division, neck ligament",S5N0.,"Open division, neck ligament"
Open division of ligament of thoracic vertebral column,S5N1.,"Open division, thoracic ligament"
"Open division, lumbar ligament",S5N2.,"Open division, lumbar ligament"
"Open division, sacrum ligament",S5N3.,"Open division, sacrum ligament"
"Open division, jaw ligament",S5P0.,"Open division, jaw ligament"
"Open division, temporomandibular ligament",S5P00,"Open division, temporomandibular ligament"
"Open division, thyroid region ligament",S5P1.,"Open division, thyroid region ligament"
"Open division, cricoarytenoid ligament",S5P10,"Open division, cricoarytenoid ligament"
"Open division, cricothyroid ligament",S5P11,"Open division, cricothyroid ligament"
"Open division, thyroid cartilage ligament",S5P12,"Open division, thyroid cartilage ligament"
"Open division, rib ligament",S5P2.,"Open division, rib ligament"
"Open division, chondrocostal joint ligament",S5P20,"Open division, chondrocostal joint ligament"
"Open division, costal cartilage ligament",S5P21,"Open division, costal cartilage ligament"
"Open division, sternal ligament",S5P3.,"Open division, sternal ligament"
"Open division, sternoclavicular ligament",S5P30,"Open division, sternoclavicular ligament"
"Open division, chondrosternal ligament",S5P31,"Open division, chondrosternal ligament"
"Open division, xiphoid cartilage ligament",S5P32,"Open division, xiphoid cartilage ligament"
Rupture of tendon of upper arm,S5Q..,Rupture tendon upper arm
Rupture of infraspinatus tendon,S5Q0.,Rupture infraspinatus tendon
Rupture subscapularis tendon,S5Q1.,Rupture subscapularis tendon
Supraspinatus tear,S5Q2.,Rupture supraspinatus tendon
Rupture of tendon of biceps,S5Q4.,Rupture biceps tendon
Rupture triceps tendon,S5Q5.,Rupture triceps tendon
Injury of tendon of the rotator cuff of shoulder,S5Q6.,Injury of tendon of the rotator cuff of shoulder
Rupture of tendon of wrist and hand,S5R..,Rupture tendon forearm or wrist
Rupture tendon forearm or wrist,S5R..,Rupture tendon forearm or wrist
Rupture wrist extensors,S5R0.,Rupture wrist extensors
Rupture wrist flexors,S5R1.,Rupture wrist flexors
Rupture of tendon of thumb,S5S..,Rupture tendon of thumb
Rupture flexor pollicis longus,S5S0.,Rupture flexor pollicis longus
Mallet thumb with closed tendon injury,S5S2.,Mallet thumb with closed tendon injury
Rupture of tendon of finger,S5T..,Rupture tendon of finger
Rupture flexor digitorum superficialis tendon,S5T0.,Rupture flexor digitorum superficialis tendon
Rupture extensor digitorum tendon,S5T2.,Rupture extensor digitorum tendon
Mallet finger with closed tendon injury,S5T3.,Mallet finger with closed tendon injury
Rupture tendon thigh,S5U..,Rupture tendon thigh
Rupture of distal quadriceps tendon,S5U0.,Rupture quadriceps tendon
Rupture of quadriceps tendon,S5U0.,Rupture quadriceps tendon
Rupture of proximal quadriceps tendon,S5U0.,Rupture quadriceps tendon
Rupture of hamstring tendon,S5U1.,Rupture hamstring tendon
Rupture of patellar tendon,S5U2.,Rupture patellar tendon
Rupture of tendon of lower limb,S5V..,Rupture tendon leg or foot
Acute rupture of Achilles tendon,S5V0.,Rupture achilles tendon
Rupture of Achilles tendon,S5V0.,Rupture achilles tendon
Rupture of plantaris tendon,S5V1.,Rupture plantaris tendon
Rupture of flexor tendon of foot,S5V2.,Rupture foot flexor tendon
Rupture foot extensor tendon,S5V3.,Rupture foot extensor tendon
Rupture of tendon,S5W..,Other specified tendon rupture
Sprain of jaw,S5y1.,Jaw sprain
Thyroid region sprain,S5y2.,Thyroid region sprain
Cricoarytenoid sprain,S5y21,Cricoarytenoid sprain
Cricothyroid sprain,S5y22,Cricothyroid sprain
Sprain of thyroid cartilage,S5y23,Thyroid cartilage sprain
Chondrocostal joint sprain,S5y31,Chondrocostal joint sprain
Sprain of sternum,S5y4.,Sternum sprain
Sternoclavicular sprain,S5y41,Sternoclavicular sprain
Chondrosternal sprain,S5y42,Chondrosternal sprain
Xiphoid cartilage sprain,S5y43,Xiphoid cartilage sprain
Pelvis sprain or complete tear,S5y5.,Pelvis sprain or complete tear
"Sprain, symphysis pubis",S5y51,"Sprain, symphysis pubis"
"Complete tear, symphysis pubis ligament",S5y52,"Complete tear, symphysis pubis ligament"
"Complete tear, sacrotuberous ligament",S5y53,"Complete tear, sacrotuberous ligament"
"Complete tear, sacrospinous ligament",S5y54,"Complete tear, sacrospinous ligament"
"Complete tear, sacroiliac ligament",S5y55,"Complete tear, sacroiliac ligament"
"Complete tear, iliolumbar ligament",S5y56,"Complete tear, iliolumbar ligament"
"Complete tear, lumbosacral ligament",S5y57,"Complete tear, lumbosacral ligament"
"Intracranial injury, without skull fracture",S6...,Intracranial injury excluding those with skull fracture
Concussion injury of brain,S60..,Concussion
Concussion injury of cerebrum,S60..,Concussion
Repeated concussion,S60..,Concussion
Concussion with mental confusion AND/OR disorientation without loss of consciousness,S600.,Concussion with no loss of consciousness
Concussion with no loss of consciousness,S600.,Concussion with no loss of consciousness
Concussion with less than 1 hour loss of consciousness,S601.,Concussion with less than 1 hour loss of consciousness
Concussion with 1-24 hours loss of consciousness,S602.,Concussion with 1-24 hours loss of consciousness
Concussion with more than 24 hours loss of consciousness and return to pre-existing conscious level,S603.,Concussion with >24 hrs loss of consc with full recovery
Concussion with more than 24 hours loss of consciousness without return to pre-existing conscious level,S604.,Concussion with >24 hrs loss of consc without full recovery
Concussion with loss of consciousness,S605.,Concussion with loss of consciousness of unspec duration
Cerebral laceration and contusion,S61..,Cerebral laceration and contusion
Contusion of cerebrum,S61..,Cerebral laceration and contusion
Cortex laceration and contusion,S61..,Cerebral laceration and contusion
Contusion of cerebral cortex,S61..,Cerebral laceration and contusion
Closed cerebral contusion,S610.,Closed cerebral contusion
Cortex contusion without open intracranial wound,S6100,Cortex cont no open intracranial wnd + unspec state consc
Cortex contusion without open intracranial wound AND with no loss of consciousness,S6101,Cortex cont no open intracranial wnd + no loss of consc
Cortex contusion without open intracranial wound AND with brief loss of consciousness (less than one hour),S6102,Cortex cont no open intracranial wnd + <1hr loss of consc
Cortex contusion without open intracranial wound AND with moderate loss of consciousness (1-24 hours),S6103,Cortex cont no open intracranial wnd + 1-24hrs loss of consc
Cortex contusion without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level,S6104,Cortex cont no open intracranial wnd + >24 hr LOC + recovery
Cortex contusion without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level,S6105,Cortex cont no open intracranial wnd +>24hr LOC not restored
Cortex contusion without open intracranial wound AND with loss of consciousness,S6106,Cortex cont no open intracranial wnd + LOC unspec duration
Cortex contusion without open intracranial wound AND with concussion,S610z,Cortex cont no open intracranial wnd + concussion unspec
Open cerebral contusion,S611.,Open cerebral contusion
Cortex contusion with open intracranial wound,S6110,Cortex cont + open intracranial wound + unspec state consc
"Cortex contusion with open intracranial wound, with no loss of consciousness",S6111,Cortex cont + open intracranial wound + no loss of consc
"Cortex contusion with open intracranial wound, with less than 1 hour loss of consciousness",S6112,Cortex cont + open intracranial wound + <1hr loss of consc
"Cortex contusion with open intracranial wound, with 1-24 hours loss of consciousness",S6113,Cortex cont + open intracranial wound + 1-24hr loss of consc
"Cortex contusion with open intracranial wound, with more than 24 hours loss of consciousness and return to pre-existing conscious level",S6114,Cortex cont + open intracranial wnd + >24hr LOC + recovery
